Series,Country,Rank,Year
"5.03 Quality of the education system, 1-7 (best)",Madagascar,117,2013-2014
"5.04 Quality of math and science education, 1-7 (best)",Madagascar,82,2013-2014
"5.05 Quality of management schools, 1-7 (best)",Madagascar,87,2013-2014
"5.06 Internet access in schools, 1-7 (best)",Madagascar,132,2013-2014
"5.07 Availability of research and training services, 1-7 (best)",Madagascar,111,2013-2014
"5.08 Extent of staff training, 1-7 (best)",Madagascar,102,2013-2014
5th pillar: Higher education and training,Madagascar,132,2013-2014
"5.01 Secondary education enrollment, gross %*",Madagascar,133,2012-2013
"5.02 Tertiary education enrollment, gross %*",Madagascar,132,2012-2013
"5.03 Quality of the education system, 1-7 (best)",Madagascar,117,2012-2013
"5.04 Quality of math and science education, 1-7 (best)",Madagascar,82,2012-2013
"5.05 Quality of management schools, 1-7 (best)",Madagascar,90,2012-2013
"5.06 Internet access in schools, 1-7 (best)",Madagascar,133,2012-2013
"5.07 Availability of research and training services, 1-7 (best)",Madagascar,123,2012-2013
"5.08 Extent of staff training, 1-7 (best)",Madagascar,113,2012-2013
5th pillar: Higher education and training,Madagascar,133,2012-2013
"5.01 Secondary education enrollment, gross %*",Madagascar,127,2011-2012
"5.02 Tertiary education enrollment, gross %*",Madagascar,131,2011-2012
"5.03 Quality of the education system, 1-7 (best)",Madagascar,118,2011-2012
"5.04 Quality of math and science education, 1-7 (best)",Madagascar,92,2011-2012
"5.05 Quality of management schools, 1-7 (best)",Madagascar,103,2011-2012
"5.06 Internet access in schools, 1-7 (best)",Madagascar,132,2011-2012
"5.07 Availability of research and training services, 1-7 (best)",Madagascar,123,2011-2012
"5.08 Extent of staff training, 1-7 (best)",Madagascar,115,2011-2012
5th pillar: Higher education and training,Madagascar,133,2011-2012
"5.01 Secondary education enrollment, gross %*",Madagascar,128,2010-2011
"5.02 Tertiary education enrollment, gross %*",Madagascar,130,2010-2011
"5.03 Quality of the education system, 1-7 (best)",Madagascar,92,2010-2011
"5.04 Quality of math and science education, 1-7 (best)",Madagascar,85,2010-2011
"5.05 Quality of management schools, 1-7 (best)",Madagascar,77,2010-2011
"5.06 Internet access in schools, 1-7 (best)",Madagascar,118,2010-2011
"5.07 Availability of research and training services, 1-7 (best)",Madagascar,110,2010-2011
"5.08 Extent of staff training, 1-7 (best)",Madagascar,114,2010-2011
5th pillar: Higher education and training,Madagascar,128,2010-2011
"5.01 Secondary education enrollment, gross %*",Madagascar,123,2009-2010
"5.02 Tertiary education enrollment, gross %*",Madagascar,124,2009-2010
"5.03 Quality of the education system, 1-7 (best)",Madagascar,88,2009-2010
"5.04 Quality of math and science education, 1-7 (best)",Madagascar,70,2009-2010
"5.05 Quality of management schools, 1-7 (best)",Madagascar,62,2009-2010
"5.06 Internet access in schools, 1-7 (best)",Madagascar,113,2009-2010
"5.07 Availability of research and training services, 1-7 (best)",Madagascar,91,2009-2010
"5.08 Extent of staff training, 1-7 (best)",Madagascar,104,2009-2010
5th pillar: Higher education and training,Madagascar,117,2009-2010
"5.01 Secondary education enrollment, gross %*",Madagascar,126,2008-2009
"5.02 Tertiary education enrollment, gross %*",Madagascar,124,2008-2009
"5.03 Quality of the education system, 1-7 (best)",Madagascar,103,2008-2009
"5.04 Quality of math and science education, 1-7 (best)",Madagascar,74,2008-2009
"5.05 Quality of management schools, 1-7 (best)",Madagascar,69,2008-2009
"5.06 Internet access in schools, 1-7 (best)",Madagascar,115,2008-2009
"5.07 Availability of research and training services, 1-7 (best)",Madagascar,98,2008-2009
"5.08 Extent of staff training, 1-7 (best)",Madagascar,97,2008-2009
5th pillar: Higher education and training,Madagascar,119,2008-2009
"5.01 Secondary education enrollment, gross %*",Madagascar,126,2007-2008
"5.02 Tertiary education enrollment, gross %*",Madagascar,121,2007-2008
"5.03 Quality of the education system, 1-7 (best)",Madagascar,101,2007-2008
"5.04 Quality of math and science education, 1-7 (best)",Madagascar,83,2007-2008
"5.05 Quality of management schools, 1-7 (best)",Madagascar,74,2007-2008
"5.06 Internet access in schools, 1-7 (best)",Madagascar,116,2007-2008
"5.07 Availability of research and training services, 1-7 (best)",Madagascar,108,2007-2008
"5.08 Extent of staff training, 1-7 (best)",Madagascar,107,2007-2008
5th pillar: Higher education and training,Madagascar,121,2007-2008
"5.01 Secondary education enrollment, gross %*",Malawi,120,2017-2018
"5.02 Tertiary education enrollment, gross %*",Malawi,134,2017-2018
"5.03 Quality of the education system, 1-7 (best)",Malawi,100,2017-2018
"5.04 Quality of math and science education, 1-7 (best)",Malawi,124,2017-2018
"5.05 Quality of management schools, 1-7 (best)",Malawi,130,2017-2018
"5.06 Internet access in schools, 1-7 (best)",Malawi,129,2017-2018
"5.07 Availability of research and training services, 1-7 (best)",Malawi,125,2017-2018
"5.08 Extent of staff training, 1-7 (best)",Malawi,77,2017-2018
5th pillar: Higher education and training,Malawi,128,2017-2018
"5.01 Secondary education enrollment, gross %*",Malawi,127,2016-2017
"5.02 Tertiary education enrollment, gross %*",Malawi,138,2016-2017
"5.03 Quality of the education system, 1-7 (best)",Malawi,100,2016-2017
"5.04 Quality of math and science education, 1-7 (best)",Malawi,125,2016-2017
"5.05 Quality of management schools, 1-7 (best)",Malawi,133,2016-2017
"5.06 Internet access in schools, 1-7 (best)",Malawi,132,2016-2017
"5.07 Availability of research and training services, 1-7 (best)",Malawi,123,2016-2017
"5.08 Extent of staff training, 1-7 (best)",Malawi,65,2016-2017
5th pillar: Higher education and training,Malawi,131,2016-2017
"5.01 Secondary education enrollment, gross %*",Malawi,132,2015-2016
"5.02 Tertiary education enrollment, gross %*",Malawi,137,2015-2016
"5.03 Quality of the education system, 1-7 (best)",Malawi,104,2015-2016
"5.04 Quality of math and science education, 1-7 (best)",Malawi,128,2015-2016
"5.05 Quality of management schools, 1-7 (best)",Malawi,130,2015-2016
"5.06 Internet access in schools, 1-7 (best)",Malawi,133,2015-2016
"5.07 Availability of research and training services, 1-7 (best)",Malawi,121,2015-2016
"5.08 Extent of staff training, 1-7 (best)",Malawi,66,2015-2016
5th pillar: Higher education and training,Malawi,133,2015-2016
"5.01 Secondary education enrollment, gross %*",Malawi,133,2014-2015
"5.02 Tertiary education enrollment, gross %*",Malawi,141,2014-2015
"5.03 Quality of the education system, 1-7 (best)",Malawi,99,2014-2015
"5.04 Quality of math and science education, 1-7 (best)",Malawi,119,2014-2015
"5.05 Quality of management schools, 1-7 (best)",Malawi,127,2014-2015
"5.06 Internet access in schools, 1-7 (best)",Malawi,128,2014-2015
"5.07 Availability of research and training services, 1-7 (best)",Malawi,113,2014-2015
"5.08 Extent of staff training, 1-7 (best)",Malawi,65,2014-2015
5th pillar: Higher education and training,Malawi,132,2014-2015
"5.01 Secondary education enrollment, gross %*",Malawi,137,2013-2014
"5.02 Tertiary education enrollment, gross %*",Malawi,146,2013-2014
"5.03 Quality of the education system, 1-7 (best)",Malawi,92,2013-2014
"5.04 Quality of math and science education, 1-7 (best)",Malawi,113,2013-2014
"5.05 Quality of management schools, 1-7 (best)",Malawi,124,2013-2014
"5.06 Internet access in schools, 1-7 (best)",Malawi,123,2013-2014
"5.07 Availability of research and training services, 1-7 (best)",Malawi,104,2013-2014
"5.08 Extent of staff training, 1-7 (best)",Malawi,84,2013-2014
5th pillar: Higher education and training,Malawi,133,2013-2014
"5.01 Secondary education enrollment, gross %*",Malawi,132,2012-2013
"5.02 Tertiary education enrollment, gross %*",Malawi,140,2012-2013
"5.03 Quality of the education system, 1-7 (best)",Malawi,65,2012-2013
"5.04 Quality of math and science education, 1-7 (best)",Malawi,96,2012-2013
"5.05 Quality of management schools, 1-7 (best)",Malawi,100,2012-2013
"5.06 Internet access in schools, 1-7 (best)",Malawi,124,2012-2013
"5.07 Availability of research and training services, 1-7 (best)",Malawi,108,2012-2013
"5.08 Extent of staff training, 1-7 (best)",Malawi,94,2012-2013
5th pillar: Higher education and training,Malawi,129,2012-2013
"5.01 Secondary education enrollment, gross %*",Malawi,131,2011-2012
"5.02 Tertiary education enrollment, gross %*",Malawi,140,2011-2012
"5.03 Quality of the education system, 1-7 (best)",Malawi,47,2011-2012
"5.04 Quality of math and science education, 1-7 (best)",Malawi,73,2011-2012
"5.05 Quality of management schools, 1-7 (best)",Malawi,81,2011-2012
"5.06 Internet access in schools, 1-7 (best)",Malawi,123,2011-2012
"5.07 Availability of research and training services, 1-7 (best)",Malawi,94,2011-2012
"5.08 Extent of staff training, 1-7 (best)",Malawi,71,2011-2012
5th pillar: Higher education and training,Malawi,123,2011-2012
"5.01 Secondary education enrollment, gross %*",Malawi,129,2010-2011
"5.02 Tertiary education enrollment, gross %*",Malawi,139,2010-2011
"5.03 Quality of the education system, 1-7 (best)",Malawi,49,2010-2011
"5.04 Quality of math and science education, 1-7 (best)",Malawi,80,2010-2011
"5.05 Quality of management schools, 1-7 (best)",Malawi,96,2010-2011
"5.06 Internet access in schools, 1-7 (best)",Malawi,126,2010-2011
"5.07 Availability of research and training services, 1-7 (best)",Malawi,92,2010-2011
"5.08 Extent of staff training, 1-7 (best)",Malawi,67,2010-2011
5th pillar: Higher education and training,Malawi,120,2010-2011
"5.01 Secondary education enrollment, gross %*",Malawi,122,2009-2010
"5.02 Tertiary education enrollment, gross %*",Malawi,133,2009-2010
"5.03 Quality of the education system, 1-7 (best)",Malawi,65,2009-2010
"5.04 Quality of math and science education, 1-7 (best)",Malawi,102,2009-2010
"5.05 Quality of management schools, 1-7 (best)",Malawi,116,2009-2010
"5.06 Internet access in schools, 1-7 (best)",Malawi,128,2009-2010
"5.07 Availability of research and training services, 1-7 (best)",Malawi,97,2009-2010
"5.08 Extent of staff training, 1-7 (best)",Malawi,75,2009-2010
5th pillar: Higher education and training,Malawi,120,2009-2010
"5.01 Secondary education enrollment, gross %*",Malawi,122,2008-2009
"5.02 Tertiary education enrollment, gross %*",Malawi,134,2008-2009
"5.03 Quality of the education system, 1-7 (best)",Malawi,72,2008-2009
"5.04 Quality of math and science education, 1-7 (best)",Malawi,110,2008-2009
"5.05 Quality of management schools, 1-7 (best)",Malawi,121,2008-2009
"5.06 Internet access in schools, 1-7 (best)",Malawi,130,2008-2009
"5.07 Availability of research and training services, 1-7 (best)",Malawi,102,2008-2009
"5.08 Extent of staff training, 1-7 (best)",Malawi,76,2008-2009
5th pillar: Higher education and training,Malawi,116,2008-2009
"5.01 Secondary education enrollment, gross %*",Malawi,,2007-2008
"5.02 Tertiary education enrollment, gross %*",Malawi,,2007-2008
"5.03 Quality of the education system, 1-7 (best)",Malawi,,2007-2008
"5.04 Quality of math and science education, 1-7 (best)",Malawi,,2007-2008
"5.05 Quality of management schools, 1-7 (best)",Malawi,,2007-2008
"5.06 Internet access in schools, 1-7 (best)",Malawi,,2007-2008
"5.07 Availability of research and training services, 1-7 (best)",Malawi,,2007-2008
"5.08 Extent of staff training, 1-7 (best)",Malawi,,2007-2008
5th pillar: Higher education and training,Malawi,,2007-2008
"5.01 Secondary education enrollment, gross %*",Malaysia,92,2017-2018
"5.02 Tertiary education enrollment, gross %*",Malaysia,89,2017-2018
"5.03 Quality of the education system, 1-7 (best)",Malaysia,14,2017-2018
"5.04 Quality of math and science education, 1-7 (best)",Malaysia,16,2017-2018
"5.05 Quality of management schools, 1-7 (best)",Malaysia,25,2017-2018
"5.06 Internet access in schools, 1-7 (best)",Malaysia,27,2017-2018
"5.07 Availability of research and training services, 1-7 (best)",Malaysia,18,2017-2018
"5.08 Extent of staff training, 1-7 (best)",Malaysia,9,2017-2018
5th pillar: Higher education and training,Malaysia,45,2017-2018
"5.01 Secondary education enrollment, gross %*",Malaysia,95,2016-2017
"5.02 Tertiary education enrollment, gross %*",Malaysia,85,2016-2017
"5.03 Quality of the education system, 1-7 (best)",Malaysia,12,2016-2017
"5.04 Quality of math and science education, 1-7 (best)",Malaysia,19,2016-2017
"5.05 Quality of management schools, 1-7 (best)",Malaysia,25,2016-2017
"5.06 Internet access in schools, 1-7 (best)",Malaysia,24,2016-2017
"5.07 Availability of research and training services, 1-7 (best)",Malaysia,17,2016-2017
"5.08 Extent of staff training, 1-7 (best)",Malaysia,9,2016-2017
5th pillar: Higher education and training,Malaysia,41,2016-2017
"5.01 Secondary education enrollment, gross %*",Malaysia,100,2015-2016
"5.02 Tertiary education enrollment, gross %*",Malaysia,69,2015-2016
"5.03 Quality of the education system, 1-7 (best)",Malaysia,6,2015-2016
"5.04 Quality of math and science education, 1-7 (best)",Malaysia,12,2015-2016
"5.05 Quality of management schools, 1-7 (best)",Malaysia,22,2015-2016
"5.06 Internet access in schools, 1-7 (best)",Malaysia,26,2015-2016
"5.07 Availability of research and training services, 1-7 (best)",Malaysia,12,2015-2016
"5.08 Extent of staff training, 1-7 (best)",Malaysia,3,2015-2016
5th pillar: Higher education and training,Malaysia,36,2015-2016
"5.01 Secondary education enrollment, gross %*",Malaysia,108,2014-2015
"5.02 Tertiary education enrollment, gross %*",Malaysia,72,2014-2015
"5.03 Quality of the education system, 1-7 (best)",Malaysia,10,2014-2015
"5.04 Quality of math and science education, 1-7 (best)",Malaysia,16,2014-2015
"5.05 Quality of management schools, 1-7 (best)",Malaysia,25,2014-2015
"5.06 Internet access in schools, 1-7 (best)",Malaysia,34,2014-2015
"5.07 Availability of research and training services, 1-7 (best)",Malaysia,13,2014-2015
"5.08 Extent of staff training, 1-7 (best)",Malaysia,4,2014-2015
5th pillar: Higher education and training,Malaysia,46,2014-2015
"5.01 Secondary education enrollment, gross %*",Malaysia,105,2013-2014
"5.02 Tertiary education enrollment, gross %*",Malaysia,62,2013-2014
"5.03 Quality of the education system, 1-7 (best)",Malaysia,19,2013-2014
"5.04 Quality of math and science education, 1-7 (best)",Malaysia,27,2013-2014
"5.05 Quality of management schools, 1-7 (best)",Malaysia,35,2013-2014
"5.06 Internet access in schools, 1-7 (best)",Malaysia,36,2013-2014
"5.07 Availability of research and training services, 1-7 (best)",Malaysia,20,2013-2014
"5.08 Extent of staff training, 1-7 (best)",Malaysia,11,2013-2014
5th pillar: Higher education and training,Malaysia,46,2013-2014
"5.01 Secondary education enrollment, gross %*",Malaysia,103,2012-2013
"5.02 Tertiary education enrollment, gross %*",Malaysia,61,2012-2013
"5.03 Quality of the education system, 1-7 (best)",Malaysia,14,2012-2013
"5.04 Quality of math and science education, 1-7 (best)",Malaysia,20,2012-2013
"5.05 Quality of management schools, 1-7 (best)",Malaysia,26,2012-2013
"5.06 Internet access in schools, 1-7 (best)",Malaysia,38,2012-2013
"5.07 Availability of research and training services, 1-7 (best)",Malaysia,17,2012-2013
"5.08 Extent of staff training, 1-7 (best)",Malaysia,7,2012-2013
5th pillar: Higher education and training,Malaysia,39,2012-2013
"5.01 Secondary education enrollment, gross %*",Malaysia,101,2011-2012
"5.02 Tertiary education enrollment, gross %*",Malaysia,66,2011-2012
"5.03 Quality of the education system, 1-7 (best)",Malaysia,14,2011-2012
"5.04 Quality of math and science education, 1-7 (best)",Malaysia,23,2011-2012
"5.05 Quality of management schools, 1-7 (best)",Malaysia,27,2011-2012
"5.06 Internet access in schools, 1-7 (best)",Malaysia,36,2011-2012
"5.07 Availability of research and training services, 1-7 (best)",Malaysia,18,2011-2012
